Geneid,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2,Genebiotype,Genesymbol
ENSG00000120158,944,1193,1299,1482,446,133,200,588,protein_coding,RCL1
ENSG00000120159,2305,2699,2237,2342,345,110,119,312,protein_coding,CAAP1
ENSG00000120160,0,0,0,0,3,0,0,0,protein_coding,EQTN
ENSG00000120162,8,8,6,7,247,71,130,371,protein_coding,MOB3B
ENSG00000120210,7,1,17,27,0,0,0,1,protein_coding,INSL6
ENSG00000120211,0,0,2,0,0,0,1,2,protein_coding,INSL4
ENSG00000120215,27,17,13,12,10,3,1,4,protein_coding,MLANA
ENSG00000120217,265,304,270,536,68,24,41,130,protein_coding,CD274
ENSG00000120235,0,0,0,0,0,0,0,0,protein_coding,IFNA6
ENSG00000120242,0,0,0,0,0,0,0,0,protein_coding,IFNA8
ENSG00000120251,0,0,2,0,0,1,0,1,protein_coding,GRIA2
ENSG00000120253,1526,1762,1650,2119,717,219,324,837,protein_coding,NUP43
ENSG00000120254,982,1082,937,1090,249,91,113,253,protein_coding,MTHFD1L
ENSG00000120256,98,88,94,105,11,1,5,25,protein_coding,LRP11
ENSG00000120262,0,0,0,5,3,2,1,4,protein_coding,CCDC170
ENSG00000120265,1525,1851,1537,1903,1305,402,418,955,protein_coding,PCMT1
ENSG00000120278,17,27,23,41,35,22,27,82,protein_coding,PLEKHG1
ENSG00000120279,1,0,0,0,11,2,1,3,protein_coding,MYCT1
ENSG00000120280,0,0,0,0,0,0,0,0,protein_coding,TASL
ENSG00000120289,0,0,0,0,0,0,0,0,protein_coding,MAGEB4
ENSG00000120306,591,538,844,1365,395,146,209,523,protein_coding,CYSTM1
ENSG00000120314,1215,1449,1187,1607,471,151,232,618,protein_coding,WDR55
ENSG00000120318,30,38,11,15,300,99,141,395,protein_coding,ARAP3
ENSG00000120322,82,94,46,53,0,0,2,1,protein_coding,PCDHB8
ENSG00000120324,92,130,33,52,0,0,1,0,protein_coding,PCDHB10
ENSG00000120327,238,249,190,262,3,2,0,2,protein_coding,PCDHB14
ENSG00000120328,70,44,45,39,1,0,0,2,protein_coding,PCDHB12
ENSG00000120329,0,1,1,0,0,0,0,1,protein_coding,SLC25A2
ENSG00000120332,8,11,11,7,1,0,0,0,protein_coding,TNN
ENSG00000120333,1444,1692,1939,2281,133,47,74,215,protein_coding,MRPS14
ENSG00000120334,720,784,857,889,1232,481,568,1452,protein_coding,CENPL
ENSG00000120337,1,3,19,18,2,0,0,0,protein_coding,TNFSF18
ENSG00000120341,2,0,0,0,0,0,0,0,protein_coding,SEC16B
ENSG00000120370,424,485,451,497,550,188,180,477,protein_coding,GORAB
ENSG00000120436,6,2,1,0,0,0,0,0,protein_coding,GPR31
ENSG00000120437,1592,1906,1749,1869,485,157,165,492,protein_coding,ACAT2
ENSG00000120438,15375,17727,18009,21074,10684,3340,3384,9009,protein_coding,TCP1
ENSG00000120440,0,1,0,1,1,0,3,2,protein_coding,TTLL2
ENSG00000120451,4679,5460,4606,5728,1555,550,722,1983,protein_coding,SNX19
ENSG00000120457,1,1,1,2,6,2,3,4,protein_coding,KCNJ5
ENSG00000120458,1002,1144,929,1024,307,98,107,278,protein_coding,MSANTD2
ENSG00000120471,0,7,1,2,0,1,0,0,protein_coding,TP53AIP1
ENSG00000120498,7,3,2,1,0,0,0,0,protein_coding,TEX11
ENSG00000120500,2,8,5,16,2,0,2,4,protein_coding,ARR3
ENSG00000120509,1407,1545,1945,2618,1437,520,593,1623,protein_coding,PDZD11
ENSG00000120519,1346,1746,2481,2661,538,185,198,547,protein_coding,SLC10A7
ENSG00000120526,1250,1554,1761,1671,1877,620,819,2108,protein_coding,NUDCD1
ENSG00000120533,1583,1802,1913,2283,2032,651,571,1712,protein_coding,ENY2
ENSG00000120539,1126,1211,1108,1091,1531,530,488,1446,protein_coding,MASTL
ENSG00000120549,4756,5074,4408,4946,842,241,190,592,protein_coding,KIAA1217
ENSG00000120563,0,0,0,1,3,0,0,0,protein_coding,LYZL1
ENSG00000120594,1928,2447,1649,1785,17,5,12,43,protein_coding,PLXDC2
ENSG00000120616,1505,1732,1760,1775,677,251,253,698,protein_coding,EPC1
ENSG00000120645,6,6,10,9,1,2,0,0,protein_coding,IQSEC3
